FactID	Fact_Statement	True/False
0	Michelle Trachtenberg stars in 17 Again	1.0
1	Zac Efron owns an Instagram Account	1.0
2	Margot Robbie stars in Suicide Squad	1.0
3	Margot Robbie was born in Gold Coast	1.0
4	Leonardo DiCaprio is an actor	1.0
5	Zac Efron acts as Mitch Buchannon in the film Baywatch	0.0
6	Kurt Cobain's death place is unknown	0.0
7	Justin Timberlake's birth place is Nashville, Tennessee	0.0
8	Avril Lavigne's sister is called Matthew	0.0
9	Avril Lavigne's brother is called Michelle	0.0
